ID_NUM,Gender,Resident,ACT_SCORE,ACT_RECEIVED,HS_GPA,Athlete,Retained
1,1,1,22,1,3.21,0,0
2,1,1,22,1,3.66,1,1
3,0,1,NULL,0,2.88,0,1
4,1,1,30,1,3.73,1,1
5,1,1,NULL,0,3.92,1,1
6,0,1,21,1,3.68,0,1
7,0,1,29,1,2.33,0,0
8,1,1,31,1,4.56,0,1
9,0,1,20,1,3.36,0,1
10,1,1,28,1,4.17,0,1
11,1,1,25,1,3.76,0,0
12,1,1,20,1,3.54,0,1
13,1,1,22,1,3.27,1,0
14,1,1,28,1,3.83,0,1
15,0,1,27,1,3.01,1,1
16,1,1,26,1,3.95,1,1
17,0,1,23,1,2.79,1,0
18,0,1,24,1,2.82,0,0
19,1,1,25,1,3.84,1,1
20,0,1,22,1,3.07,1,1
21,0,1,NULL,0,3.63,0,1
22,1,1,19,1,3.24,1,1
23,1,1,27,1,3.32,0,1
24,0,1,26,1,3.6,0,1
25,0,1,28,1,4,1,1
26,0,1,27,1,4.27,1,1
27,1,1,30,1,3.96,1,1
28,1,1,30,1,3.7,0,1
29,0,1,26,1,3.45,1,0
30,0,1,18,1,2.88,1,1
31,0,1,22,1,3.34,1,1
32,0,1,NULL,0,3.58,0,1
33,1,1,NULL,0,3.59,0,1
34,0,1,23,1,2.7,0,0
35,0,1,26,1,3.02,0,1
36,0,1,24,1,2.82,0,0
37,0,1,20,1,2.66,0,1
38,1,1,23,1,3.32,0,1
39,1,1,20,1,3.11,1,1
40,0,1,20,1,3.75,0,0
41,0,1,23,1,2.9,0,1
42,0,1,23,1,3.66,1,1
43,0,1,21,1,3.74,0,1
44,0,1,23,1,3.33,0,1
45,0,1,24,1,3.11,0,1
46,1,1,25,1,3.97,1,1
47,1,1,25,1,3.71,1,1
48,1,1,26,1,3.98,1,1
49,1,1,31,1,3.58,0,1
50,1,1,23,1,3.23,0,1
51,0,1,NULL,0,2,1,0
52,1,1,26,1,4,0,1
53,0,1,21,1,2.88,1,1
54,1,1,21,1,3.06,0,1
55,1,1,29,1,3.91,0,1
56,1,1,27,1,3.8,1,1
57,1,1,23,1,3.81,1,1
58,0,1,18,1,3.57,1,1
59,0,1,20,1,2.64,0,1
60,1,1,23,1,3.62,0,1
61,0,1,20,1,2.85,1,1
62,1,1,30,1,4,0,1
63,0,1,23,1,3.82,1,1
64,0,1,NULL,0,0,0,0
65,0,1,21,1,4.15,1,1
66,0,1,32,1,3.78,0,1
67,0,1,NULL,0,NULL,0,0
68,0,1,27,1,2.99,0,0
69,0,1,25,1,2.64,1,0
70,1,1,27,1,3.85,1,1
71,0,1,NULL,0,0,0,1
72,0,1,24,1,2.87,1,1
73,1,1,26,1,2.61,0,0
74,0,1,27,1,3.34,0,1
75,0,1,22,1,3.84,1,1
76,0,1,23,1,3.33,0,0
77,0,1,24,1,3.87,1,1
78,1,1,30,1,4.04,1,1
79,0,1,27,1,2.79,0,1
80,1,1,25,1,3.89,1,1
81,1,1,27,1,3.93,1,1
82,1,1,20,1,3.26,0,0
83,0,1,18,1,3.52,1,0
84,0,1,22,1,2.39,1,0
85,1,1,24,1,3.12,0,1
86,0,1,27,1,2.84,1,0
87,1,1,28,1,4.05,0,1
88,0,1,24,1,3.79,1,0
89,1,1,27,1,2.78,0,0
90,1,1,23,1,3.5,0,1
91,1,1,25,1,4,1,1
92,1,1,32,1,4.41,0,1
93,0,1,27,1,3.77,1,1
94,1,1,28,1,4.17,0,1
95,0,1,24,1,3.29,1,1
96,0,1,32,1,4.33,0,1
97,1,1,24,1,2.37,0,1
98,0,1,26,1,3.02,0,1
99,0,1,21,1,3.61,0,1
100,1,1,28,1,3.91,0,0
101,0,1,30,1,3.9,0,0
102,1,1,18,1,3.43,0,1
103,0,1,31,1,2.74,1,0
104,1,1,26,1,3.56,0,0
105,0,1,31,1,4.11,0,0
106,0,1,28,1,3.83,0,1
107,0,1,28,1,3.35,0,1
108,1,1,26,1,3.7,0,1
109,0,1,27,1,3.64,1,0
110,1,1,NULL,0,3.7,0,1
111,1,1,32,1,4.08,0,1
112,1,1,27,1,4.02,1,1
113,0,1,27,1,3.77,1,1
114,1,1,26,1,3.66,0,1
115,0,1,27,1,3.39,0,1
116,0,1,24,1,3.3,0,1
117,1,1,26,1,3.03,1,1
